busto,cintura,quadril,altura,ombro,medida correta
96.99,77.01,104.55,161.13,32.82,M
75.22,57.54,85.18,178.72,31.21,PP
86.43,68.18,92.93,169.91,31.57,P
99.62,77.19,103.5,151.75,31.92,M
119.37,100.52,125.48,153.0,35.33,GG
94.31,79.48,105.84,154.42,35.38,M
95.6,75.43,103.94,168.5,38.37,M
116.96,100.17,121.51,157.58,31.62,GG
104.04,89.23,115.94,168.31,32.35,G
99.42,76.7,101.82,177.41,36.06,M
114.82,98.42,120.05,177.95,38.07,GG
115.69,99.79,121.17,159.61,31.43,GG
117.03,99.36,124.53,175.42,30.82,GG
74.56,55.28,81.42,173.2,38.83,PP
108.48,88.43,112.61,165.04,36.16,G
116.78,98.64,124.07,175.17,31.6,GG
95.4,75.86,100.78,160.1,30.1,M
77.31,57.72,82.22,170.0,30.19,PP
74.9,59.28,84.22,158.78,31.92,PP
89.43,66.7,92.75,172.44,30.96,P
109.75,89.68,113.24,171.78,38.82,G
95.62,80.87,100.89,163.4,32.7,M
79.09,58.01,80.98,156.01,36.25,PP
94.15,79.03,103.41,153.32,36.68,M
94.39,78.74,102.2,158.97,31.63,M
107.7,86.81,115.91,157.94,30.77,G
78.55,60.7,82.31,159.89,36.75,PP
85.14,66.74,94.57,167.03,31.07,P
88.54,69.54,91.2,152.18,36.15,P
104.56,86.86,115.36,156.17,38.02,G
114.97,100.45,124.64,164.3,39.43,GG
109.17,87.55,112.08,152.79,36.93,G
87.25,70.98,90.56,156.86,34.77,P
98.71,76.57,104.35,179.99,36.43,M
118.23,99.84,121.3,157.27,33.55,GG
88.72,68.78,93.98,168.35,35.91,P
105.33,90.88,114.75,172.07,39.81,G
86.4,70.08,90.84,154.66,34.51,P
116.38,97.35,120.42,159.42,34.52,GG
79.37,56.79,84.97,161.94,30.99,PP
75.03,55.99,80.78,151.88,33.78,PP
98.35,75.3,102.54,167.89,38.97,M
99.36,80.54,100.31,159.6,31.49,M
116.22,97.96,120.07,172.51,34.27,GG
119.68,98.82,124.83,175.55,38.57,GG
